order_id,user_id,order_value,items_count,hour,day_of_week,payment_mode,outside_city_center,risky_cancel_rate,fraud_label,high_value_order,late_night_order
ORD100000,U8270,803.92,6,2,5,COD,1,0,1,0,1
ORD100001,U1860,283.52,7,6,1,COD,0,1,1,0,0
ORD100002,U6390,339.7,4,5,3,UPI,0,1,1,0,0
ORD100003,U6191,154.36,7,2,5,UPI,1,0,1,0,1
ORD100004,U6734,609.29,8,7,2,UPI,0,0,0,0,0
ORD100005,U7265,811.68,3,0,3,UPI,0,0,1,0,1
ORD100006,U1466,136.5,2,4,3,COD,0,0,1,0,1
ORD100007,U5426,21.36,5,23,3,COD,1,0,0,0,1
ORD100008,U6578,488.94,2,18,3,UPI,0,0,0,0,0
ORD100009,U9322,413.35,5,12,4,WALLET,1,0,0,0,0
ORD100010,U2685,257.19,6,10,4,COD,1,0,0,0,0
ORD100011,U1769,516.26,8,21,5,UPI,1,0,0,0,0
ORD100012,U7949,399.94,6,10,0,UPI,0,0,0,0,0
ORD100013,U3433,144.23,4,1,3,COD,0,1,1,0,1
ORD100014,U6311,253.52,3,8,1,CARD,0,0,0,0,0
ORD100015,U6051,279.41,2,1,2,UPI,0,0,1,0,1
ORD100016,U7420,1061.17,1,20,4,UPI,1,0,0,1,0
ORD100017,U2184,1620.87,2,18,1,UPI,1,0,0,1,0
ORD100018,U5555,1117.47,2,11,4,COD,1,0,1,1,0
ORD100019,U4385,635.02,5,8,5,UPI,0,0,0,0,0
ORD100020,U7396,439.73,9,8,0,UPI,0,0,0,0,0
ORD100021,U9666,584.4,1,22,2,COD,0,0,0,0,1
ORD100022,U3558,1399.34,4,9,4,UPI,0,0,0,1,0
ORD100023,U8849,143.84,7,4,2,COD,1,0,1,0,1
ORD100024,U3047,382.99,3,8,2,COD,0,1,1,0,0
ORD100025,U3747,584.96,8,22,5,CARD,0,0,0,0,1
ORD100026,U1189,568.54,3,17,1,COD,0,1,1,0,0
ORD100027,U3734,145.36,8,9,4,UPI,0,0,0,0,0
ORD100028,U4005,441.83,2,16,2,WALLET,0,0,0,0,0
ORD100029,U5658,794.6,5,9,5,COD,1,0,0,0,0
ORD100030,U2899,322.25,4,13,3,UPI,0,0,0,0,0
ORD100031,U8734,788.24,9,3,6,UPI,0,1,1,0,1
ORD100032,U2267,223.05,3,9,2,UPI,0,0,0,0,0
ORD100033,U2528,1396.48,5,23,2,UPI,0,0,0,1,1
ORD100034,U4556,381.71,9,21,4,UPI,0,0,0,0,0
ORD100035,U4890,453.11,6,17,6,COD,0,0,0,0,0
ORD100036,U9838,15.93,2,4,3,COD,0,0,1,0,1
ORD100037,U6393,93.33,1,8,2,UPI,0,1,1,0,0
ORD100038,U9792,501.11,1,5,4,COD,1,0,0,0,0
ORD100039,U9433,272.25,7,15,4,CARD,0,1,1,0,0
ORD100040,U8513,354.8,2,21,5,UPI,0,0,0,0,0
ORD100041,U3612,32.52,7,22,6,COD,0,0,0,0,1
ORD100042,U8041,898.29,1,15,2,COD,1,0,0,0,0
ORD100043,U7235,767.41,4,10,0,COD,0,0,0,0,0
ORD100044,U6486,102.5,4,20,0,UPI,0,0,0,0,0
ORD100045,U8099,503.01,5,14,1,CARD,0,0,0,0,0
ORD100046,U1775,852.74,1,18,0,COD,0,0,0,0,0
ORD100047,U9226,512.01,7,2,0,COD,0,1,1,0,1
ORD100048,U4152,185.82,2,15,4,COD,0,0,0,0,0
ORD100049,U2585,533.72,2,20,4,COD,0,0,0,0,0
ORD100050,U4943,118.15,8,19,5,UPI,1,0,0,0,0
ORD100051,U8555,191.55,9,4,6,UPI,1,0,1,0,1
ORD100052,U4073,137.26,6,8,2,COD,1,0,0,0,0
ORD100053,U2021,407.01,1,4,6,UPI,1,0,1,0,1
ORD100054,U4843,57.27,1,3,6,COD,0,0,1,0,1
ORD100055,U8989,1353.85,7,12,2,COD,0,0,0,1,0
ORD100056,U7873,202.87,8,19,4,COD,0,0,0,0,0
ORD100057,U6675,123.57,3,16,2,UPI,0,0,0,0,0
ORD100058,U1161,343.14,9,19,4,UPI,0,0,0,0,0
ORD100059,U5297,162.17,4,11,6,COD,1,0,0,0,0
ORD100060,U1995,382.76,4,19,6,COD,0,0,0,0,0
ORD100061,U8629,214.25,3,19,0,COD,0,1,1,0,0
ORD100062,U2016,70.82,8,6,2,COD,0,0,0,0,0
ORD100063,U8869,154.55,9,0,0,UPI,0,0,1,0,1
ORD100064,U7439,288.52,1,15,1,COD,1,0,0,0,0
ORD100065,U8892,15.38,2,6,5,UPI,0,0,0,0,0
ORD100066,U7863,736.24,1,1,5,COD,1,0,1,0,1
ORD100067,U8916,486.2,4,11,6,UPI,0,0,0,0,0
ORD100068,U9529,459.85,7,10,6,UPI,1,0,0,0,0
ORD100069,U1878,394.88,7,7,2,UPI,0,0,0,0,0
ORD100070,U5887,446.18,6,0,6,COD,0,0,1,0,1
ORD100071,U5859,1364.01,5,2,4,COD,1,0,1,1,1
ORD100072,U7331,4.3,4,7,5,COD,0,0,0,0,0
ORD100073,U9571,24.49,8,7,4,UPI,0,0,0,0,0
ORD100074,U9684,106.28,7,10,5,COD,0,0,0,0,0
ORD100075,U8208,91.54,1,20,1,COD,0,0,0,0,0
ORD100076,U6276,99.95,6,4,4,CARD,0,0,1,0,1
ORD100077,U3062,557.29,2,7,0,COD,0,1,1,0,0
ORD100078,U1064,307.61,4,20,4,WALLET,0,0,0,0,0
ORD100079,U9006,2400.52,5,8,1,CARD,1,0,0,1,0
ORD100080,U3568,128.66,8,16,3,CARD,1,1,1,0,0
ORD100081,U6463,186.13,6,4,3,CARD,0,0,1,0,1
ORD100082,U3027,2075.16,2,18,0,COD,1,0,1,1,0
ORD100083,U3695,891.18,5,18,3,COD,0,0,0,0,0
ORD100084,U6258,317.25,5,1,6,COD,0,0,1,0,1
ORD100085,U6618,404.39,6,18,4,COD,1,0,0,0,0
ORD100086,U7736,926.32,1,22,1,COD,0,0,0,0,1
ORD100087,U1391,327.91,8,14,5,CARD,0,0,0,0,0
ORD100088,U6892,115.35,3,7,0,COD,1,1,1,0,0
ORD100089,U4561,881.42,5,23,3,COD,1,0,0,0,1
ORD100090,U7184,385.85,7,7,4,UPI,0,0,0,0,0
ORD100091,U4099,83.05,3,0,5,COD,0,1,1,0,1
ORD100092,U7278,352.19,6,13,5,COD,0,0,0,0,0
ORD100093,U9392,266.54,5,10,4,COD,0,0,0,0,0
ORD100094,U4104,1047.15,7,6,2,CARD,1,0,0,1,0
ORD100095,U8215,67.37,3,17,2,UPI,1,0,0,0,0
ORD100096,U3454,1040.56,2,14,6,UPI,1,0,0,1,0
ORD100097,U9996,358.94,4,9,1,COD,1,0,0,0,0
ORD100098,U3731,259.06,3,3,6,WALLET,0,0,1,0,1
ORD100099,U9154,88.35,4,20,6,COD,0,0,0,0,0
ORD100100,U6056,603.35,7,0,0,UPI,0,0,1,0,1
ORD100101,U9110,1307.33,5,13,3,WALLET,0,0,0,1,0
ORD100102,U4840,235.3,4,19,3,UPI,0,0,0,0,0
ORD100103,U2028,138.26,6,19,4,UPI,0,0,0,0,0
ORD100104,U8385,404.69,7,8,3,COD,0,0,0,0,0
ORD100105,U1502,795.27,5,12,6,COD,1,0,0,0,0
ORD100106,U7910,1.89,7,16,1,CARD,0,0,0,0,0
ORD100107,U7938,498.99,3,23,2,COD,1,0,0,0,1
ORD100108,U5488,453.81,7,19,4,WALLET,0,0,0,0,0
ORD100109,U1206,191.47,3,3,0,UPI,1,0,1,0,1
ORD100110,U6134,300.21,6,4,4,UPI,0,1,1,0,1
ORD100111,U6977,141.82,8,17,6,UPI,1,0,0,0,0
ORD100112,U8721,780.05,6,16,3,COD,0,1,1,0,0
ORD100113,U8035,503.29,3,20,1,COD,0,1,1,0,0
ORD100114,U2484,380.4,5,6,6,COD,0,0,0,0,0
ORD100115,U8858,249.22,9,9,0,COD,0,0,0,0,0
ORD100116,U1863,172.22,8,8,4,WALLET,1,0,0,0,0
ORD100117,U3790,865.06,6,12,3,COD,1,1,1,0,0
ORD100118,U8408,300.2,9,17,4,UPI,0,0,0,0,0
ORD100119,U9755,348.02,2,11,0,COD,0,0,0,0,0
ORD100120,U6116,367.85,9,7,6,UPI,1,0,0,0,0
ORD100121,U7019,297.44,6,22,3,UPI,0,0,0,0,1
ORD100122,U2757,147.92,9,17,2,UPI,0,0,0,0,0
ORD100123,U8574,64.11,4,4,5,WALLET,0,0,1,0,1
ORD100124,U7374,51.87,5,6,0,CARD,0,0,0,0,0
ORD100125,U7892,708.3,2,14,2,UPI,0,0,0,0,0
ORD100126,U2678,126.5,3,2,2,WALLET,0,0,1,0,1
ORD100127,U4242,28.64,1,17,3,UPI,0,0,0,0,0
ORD100128,U5636,798.55,4,5,4,CARD,0,0,0,0,0
ORD100129,U2059,83.65,2,5,6,UPI,0,0,0,0,0
ORD100130,U7668,490.61,2,19,4,COD,1,0,0,0,0
ORD100131,U4157,206.73,1,0,1,WALLET,0,0,1,0,1
ORD100132,U6915,67.61,2,20,0,COD,0,0,0,0,0
ORD100133,U3693,267.63,4,16,0,COD,1,0,0,0,0
ORD100134,U4627,7.46,6,10,6,COD,0,0,0,0,0
ORD100135,U6450,919.57,7,23,3,COD,1,0,0,0,1
ORD100136,U2663,360.26,7,1,3,COD,1,0,1,0,1
ORD100137,U6592,74.92,7,8,1,UPI,1,1,1,0,0
ORD100138,U8392,135.24,4,18,1,WALLET,0,0,0,0,0
ORD100139,U2306,297.08,5,5,2,COD,0,0,0,0,0
ORD100140,U7776,104.66,3,6,5,CARD,1,0,0,0,0
ORD100141,U6864,156.4,1,3,1,COD,0,0,1,0,1
ORD100142,U8526,382.2,8,2,4,COD,0,0,1,0,1
ORD100143,U9901,893.71,7,1,2,UPI,0,0,1,0,1
ORD100144,U6575,256.95,9,9,5,CARD,1,0,0,0,0
ORD100145,U6530,631.11,4,9,1,COD,0,0,0,0,0
ORD100146,U5413,1046.5,5,16,5,COD,0,0,0,1,0
ORD100147,U4748,121.87,5,15,4,COD,0,0,0,0,0
ORD100148,U1663,823.03,7,0,4,WALLET,0,0,1,0,1
ORD100149,U2998,708.18,9,11,2,COD,0,0,0,0,0
ORD100150,U8994,220.76,8,19,2,UPI,0,0,0,0,0
ORD100151,U2495,2279.14,7,19,4,CARD,0,0,0,1,0
ORD100152,U4304,152.29,1,9,3,UPI,0,0,0,0,0
ORD100153,U4763,147.05,6,0,6,WALLET,1,0,1,0,1
ORD100154,U6232,739.77,9,15,2,WALLET,0,1,1,0,0
ORD100155,U2853,285.16,7,10,6,UPI,1,0,0,0,0
ORD100156,U7585,200.83,1,3,0,UPI,0,0,1,0,1
ORD100157,U2291,98.41,9,2,3,COD,0,0,1,0,1
ORD100158,U4581,724.79,3,12,0,WALLET,1,0,0,0,0
ORD100159,U8554,771.64,9,20,5,COD,1,0,0,0,0
ORD100160,U8280,418.01,4,14,5,CARD,0,1,1,0,0
ORD100161,U2636,1576.94,9,9,5,COD,0,0,0,1,0
ORD100162,U4696,191.48,8,5,1,COD,0,0,0,0,0
ORD100163,U1698,123.99,7,10,2,COD,0,0,0,0,0
ORD100164,U5737,565.77,4,0,2,UPI,0,0,1,0,1
ORD100165,U1854,710.25,9,19,4,COD,0,0,0,0,0
ORD100166,U9164,127.39,4,3,6,COD,1,1,1,0,1
ORD100167,U6855,39.85,1,9,2,COD,0,0,0,0,0
ORD100168,U8392,831.73,6,21,6,COD,0,0,0,0,0
ORD100169,U7528,1875.42,4,14,5,UPI,0,0,0,1,0
ORD100170,U6249,517.36,3,0,0,COD,0,0,1,0,1
ORD100171,U6172,162.77,5,20,3,COD,1,0,0,0,0
ORD100172,U2707,2852.78,3,14,1,UPI,1,0,0,1,0
ORD100173,U6791,1118.71,9,2,6,CARD,1,0,1,1,1
ORD100174,U6535,360.14,6,0,6,UPI,1,0,1,0,1
ORD100175,U5931,872.4,3,5,3,WALLET,0,1,1,0,0
ORD100176,U4510,845.92,5,18,0,COD,1,0,0,0,0
ORD100177,U1202,1365.14,8,3,1,CARD,0,0,1,1,1
ORD100178,U5218,919.19,8,11,6,UPI,0,1,1,0,0
ORD100179,U9958,515.96,6,1,4,UPI,0,0,1,0,1
ORD100180,U5389,469.91,5,16,2,UPI,0,1,1,0,0
ORD100181,U3327,314.95,5,5,2,COD,0,0,0,0,0
ORD100182,U9004,492.4,1,11,4,COD,1,0,0,0,0
ORD100183,U3931,792.9,2,14,0,UPI,0,0,0,0,0
ORD100184,U8777,1737.49,4,16,6,COD,1,0,1,1,0
ORD100185,U1197,314.89,6,0,4,UPI,1,0,1,0,1
ORD100186,U8125,426.25,7,13,6,UPI,1,0,0,0,0
ORD100187,U2930,294.22,1,22,5,COD,1,1,1,0,1
ORD100188,U7287,552.05,8,1,6,COD,1,0,1,0,1
ORD100189,U9800,497.02,1,3,0,COD,0,1,1,0,1
ORD100190,U5282,9.0,9,19,1,COD,0,0,0,0,0
ORD100191,U3511,389.53,4,1,3,COD,1,0,1,0,1
ORD100192,U1659,46.32,7,21,3,COD,1,0,0,0,0
ORD100193,U3811,13.37,6,13,4,COD,1,1,1,0,0
ORD100194,U8098,783.18,9,17,2,COD,1,0,0,0,0
ORD100195,U7546,149.64,2,7,4,COD,0,0,0,0,0
ORD100196,U2986,208.25,7,19,2,WALLET,1,0,0,0,0
ORD100197,U9338,33.12,5,0,4,WALLET,1,1,1,0,1
ORD100198,U3911,98.92,7,15,4,COD,0,0,0,0,0
ORD100199,U2734,725.37,1,6,6,COD,0,0,0,0,0
ORD100200,U2843,340.15,9,5,3,UPI,1,0,0,0,0
ORD100201,U9680,1062.92,1,21,5,COD,0,0,0,1,0
ORD100202,U3976,253.12,5,18,2,UPI,1,0,0,0,0
ORD100203,U2959,156.47,8,9,5,COD,0,0,0,0,0
ORD100204,U6759,213.55,1,22,5,COD,0,0,0,0,1
ORD100205,U7694,623.74,7,5,5,CARD,0,0,0,0,0
ORD100206,U3385,404.85,2,9,3,CARD,0,0,0,0,0
ORD100207,U5736,1172.7,7,18,5,WALLET,0,0,0,1,0
ORD100208,U2802,460.86,7,2,6,COD,0,1,1,0,1
ORD100209,U9155,339.64,9,19,2,CARD,1,0,0,0,0
ORD100210,U9120,770.31,6,2,1,UPI,0,0,1,0,1
ORD100211,U7616,1473.79,4,19,5,UPI,0,0,0,1,0
ORD100212,U6534,219.91,7,5,5,CARD,1,0,0,0,0
ORD100213,U5061,143.76,7,16,1,WALLET,0,0,0,0,0
ORD100214,U1262,478.84,4,17,5,UPI,1,0,0,0,0
ORD100215,U7287,345.45,2,9,1,COD,0,0,0,0,0
ORD100216,U9815,2263.44,9,5,0,UPI,1,0,0,1,0
ORD100217,U3049,310.28,8,12,3,UPI,0,1,1,0,0
ORD100218,U6423,38.62,5,5,3,CARD,1,0,0,0,0
ORD100219,U5548,1894.22,5,11,1,UPI,0,0,0,1,0
ORD100220,U4108,927.63,1,13,4,COD,0,0,0,0,0
ORD100221,U8158,98.16,9,16,3,UPI,1,1,1,0,0
ORD100222,U8400,1174.87,8,21,2,COD,1,0,1,1,0
ORD100223,U4170,208.26,5,7,3,WALLET,1,0,0,0,0
ORD100224,U3255,236.69,6,4,3,COD,0,0,1,0,1
ORD100225,U2154,1184.32,8,3,2,UPI,0,1,1,1,1
ORD100226,U5499,377.63,6,5,1,CARD,0,0,0,0,0
ORD100227,U7295,74.11,4,10,6,UPI,0,0,0,0,0
ORD100228,U7197,230.27,3,4,6,CARD,0,0,1,0,1
ORD100229,U2648,640.24,7,21,1,CARD,1,0,0,0,0
ORD100230,U6539,95.69,2,13,2,COD,0,0,0,0,0
ORD100231,U5199,446.08,7,9,6,UPI,0,0,0,0,0
ORD100232,U9445,594.17,1,10,3,UPI,0,0,0,0,0
ORD100233,U3557,210.69,5,2,5,UPI,1,0,1,0,1
ORD100234,U6592,591.89,9,22,3,UPI,0,0,0,0,1
ORD100235,U1098,1077.98,1,7,1,UPI,0,0,0,1,0
ORD100236,U3200,319.44,8,20,5,COD,1,0,0,0,0
ORD100237,U3961,241.37,9,4,0,UPI,0,1,1,0,1
ORD100238,U5973,144.61,9,19,1,COD,0,0,0,0,0
ORD100239,U5433,463.43,8,20,2,COD,0,0,0,0,0
ORD100240,U3869,1059.52,4,9,5,UPI,0,0,0,1,0
ORD100241,U1956,196.27,7,7,0,UPI,0,0,0,0,0
ORD100242,U9352,252.29,1,20,6,COD,0,0,0,0,0
ORD100243,U6699,260.96,7,8,0,CARD,0,0,0,0,0
ORD100244,U7944,411.41,6,14,2,COD,0,0,0,0,0
ORD100245,U5493,129.65,5,0,5,WALLET,0,0,1,0,1
ORD100246,U5911,863.58,1,22,4,COD,0,0,0,0,1
ORD100247,U4987,175.21,8,4,1,COD,0,0,1,0,1
ORD100248,U7015,611.01,1,14,3,CARD,0,0,0,0,0
ORD100249,U2218,359.97,1,3,6,UPI,0,0,1,0,1
ORD100250,U5496,440.82,3,18,5,COD,1,0,0,0,0
ORD100251,U5735,98.99,8,9,1,COD,0,0,0,0,0
ORD100252,U5555,664.06,8,22,2,COD,1,0,0,0,1
ORD100253,U9050,104.51,7,1,3,COD,1,0,1,0,1
ORD100254,U4446,60.22,5,4,4,COD,0,0,1,0,1
ORD100255,U2045,395.58,8,17,6,UPI,1,1,1,0,0
ORD100256,U7893,617.73,2,22,2,CARD,0,0,0,0,1
ORD100257,U2693,25.67,8,5,1,CARD,0,0,0,0,0
ORD100258,U4436,35.96,2,9,6,COD,1,0,0,0,0
ORD100259,U9754,811.46,5,14,0,CARD,0,0,0,0,0
ORD100260,U6895,827.83,4,22,2,UPI,0,0,0,0,1
ORD100261,U4354,140.72,1,8,2,COD,0,0,0,0,0
ORD100262,U1225,477.55,5,12,1,CARD,1,1,1,0,0
ORD100263,U5893,292.76,7,17,4,COD,0,0,0,0,0
ORD100264,U8022,500.78,1,6,1,COD,1,1,1,0,0
ORD100265,U6600,993.45,2,1,1,COD,0,0,1,0,1
ORD100266,U8996,41.61,9,15,4,UPI,0,0,0,0,0
ORD100267,U8683,752.5,5,1,4,COD,0,0,1,0,1
ORD100268,U5642,339.65,7,3,2,CARD,0,0,1,0,1
ORD100269,U8679,415.2,2,1,0,UPI,1,0,1,0,1
ORD100270,U9208,530.56,7,16,1,UPI,0,0,0,0,0
ORD100271,U8339,1279.53,7,5,0,COD,0,0,0,1,0
ORD100272,U3205,29.2,7,9,4,CARD,0,0,0,0,0
ORD100273,U2069,14.96,5,13,4,UPI,0,1,1,0,0
ORD100274,U4444,98.17,9,14,1,UPI,0,1,1,0,0
ORD100275,U2060,2150.6,2,20,2,CARD,1,0,0,1,0
ORD100276,U3327,627.77,4,11,6,COD,1,0,0,0,0
ORD100277,U4420,476.79,2,18,1,COD,0,0,0,0,0
ORD100278,U1301,24.09,8,10,2,UPI,0,0,0,0,0
ORD100279,U1606,1056.44,1,0,3,UPI,1,0,1,1,1
ORD100280,U4170,837.67,9,7,2,COD,0,0,0,0,0
ORD100281,U1699,546.51,5,21,1,COD,0,0,0,0,0
ORD100282,U6088,207.1,3,5,1,COD,0,0,0,0,0
ORD100283,U1190,36.56,4,11,2,WALLET,0,1,1,0,0
ORD100284,U1980,433.8,1,19,0,COD,0,0,0,0,0
ORD100285,U3975,635.94,3,15,2,COD,0,1,1,0,0
ORD100286,U7102,49.49,8,17,3,CARD,1,0,0,0,0
ORD100287,U2184,502.24,2,11,3,UPI,0,1,1,0,0
ORD100288,U4327,168.69,2,19,0,UPI,0,0,0,0,0
ORD100289,U4394,722.48,9,1,3,UPI,0,0,1,0,1
ORD100290,U9319,387.85,5,6,1,UPI,0,1,1,0,0
ORD100291,U2816,69.08,5,8,0,UPI,1,0,0,0,0
ORD100292,U6854,373.82,1,17,0,COD,1,0,0,0,0
ORD100293,U7709,251.87,6,8,0,CARD,0,1,1,0,0
ORD100294,U1569,99.44,8,7,5,COD,0,0,0,0,0
ORD100295,U6442,921.05,6,0,2,COD,0,0,1,0,1
ORD100296,U2895,5.54,7,4,2,COD,1,1,1,0,1
ORD100297,U3733,187.08,4,15,0,CARD,1,0,0,0,0
ORD100298,U4863,6.34,2,13,6,UPI,0,1,1,0,0
ORD100299,U8455,50.47,1,12,3,CARD,1,0,0,0,0
ORD100300,U5014,176.27,6,10,5,UPI,0,0,0,0,0
ORD100301,U2686,27.9,9,19,5,COD,0,0,0,0,0
ORD100302,U4009,453.95,5,22,1,COD,0,0,0,0,1
ORD100303,U8806,45.43,2,12,1,UPI,0,0,0,0,0
ORD100304,U1154,604.85,1,14,2,COD,0,0,0,0,0
ORD100305,U2409,27.04,3,23,4,COD,0,0,0,0,1
ORD100306,U1784,30.57,4,15,0,CARD,0,1,1,0,0
ORD100307,U9096,182.16,7,12,4,UPI,1,0,0,0,0
ORD100308,U8560,1134.44,9,7,1,COD,1,0,1,1,0
ORD100309,U8343,512.76,8,17,6,CARD,1,0,0,0,0
ORD100310,U8206,735.12,9,18,2,UPI,0,0,0,0,0
ORD100311,U6596,76.31,7,14,2,COD,0,1,1,0,0
ORD100312,U6801,898.26,8,9,2,COD,0,0,0,0,0
ORD100313,U3806,4.09,8,22,2,COD,0,0,0,0,1
ORD100314,U1537,119.8,1,3,2,COD,0,0,1,0,1
ORD100315,U6986,478.68,9,5,0,COD,0,1,1,0,0
ORD100316,U2841,235.2,2,7,5,WALLET,0,0,0,0,0
ORD100317,U9716,2073.66,7,23,4,UPI,1,0,0,1,1
ORD100318,U7971,15.4,5,6,6,CARD,0,0,0,0,0
ORD100319,U6625,3284.99,4,11,5,COD,0,0,0,1,0
ORD100320,U3950,488.59,1,17,1,COD,0,1,1,0,0
ORD100321,U8992,409.02,1,17,1,CARD,1,0,0,0,0
ORD100322,U5780,30.68,3,18,5,UPI,0,0,0,0,0
ORD100323,U3368,159.64,1,3,2,CARD,0,0,1,0,1
ORD100324,U7655,1292.89,8,0,2,COD,0,0,1,1,1
